ship_lane_number lat_dec
0 54.3473507
0 54.49909746
0 54.59520374
0 54.61037842
0 54.45863166
0 54.44851521
0 54.62555309
0 54.79753275
0 55.08079337
0 55.14149207
0 55.04032757
0 54.98468709
0 54.7671834
0 54.57497084
0 54.41310763
0 54.40804941
0 54.55979616
0 54.52944681
0 54.45863166
0 54.35746715
1 56.73483304
1 55.81423604
1 55.6270817
1 55.34382108
1 55.30335528
1 55.21230723
1 55.14149207
1 54.99986176
1 54.89363903
1 54.79753275
1 54.72165937
1 54.67107712
1 54.59520374
1 54.61037842
1 54.71154292
1 54.84305678
1 54.97962886
1 55.19713255
1 55.37417044
1 55.6270817
1 55.84458539
1 56.69436723
1 56.69436723
1 56.69436723
2 55.2679477
2 55.23254013
2 55.1465503
2 55.23759835
2 55.23759835
3 56.75506594
3 56.32005856
3 56.03679795
3 55.91034232
3 55.75859556
3 55.30335528
3 55.2679477
3 55.23759835
3 55.29829706
3 55.6068488
3 55.82941071
3 55.96598279
3 56.05197262
3 56.28970921
3 56.73483304
3 56.73483304
4 57.77176922
4 57.48345038
4 56.76518239
4 56.72977481
4 57.43792635
4 57.74141987
