ship_lane_number lon_dec
0 10.12187448
0 10.27362124
0 10.62263878
0 11.18410179
0 11.74050657
0 12.11987347
0 12.24127088
0 12.69651115
0 14.0268244
0 14.107756
0 14.18362938
0 14.09763955
0 12.84825791
0 12.32220248
0 12.18057217
0 11.72027367
0 11.14363599
0 10.56699831
0 10.29385414
0 10.15222383
1 11.8264964
1 10.78956022
1 10.75921087
1 11.02729681
1 11.02729681
1 11.08799551
1 10.98177278
1 10.97671455
1 10.8249678
1 10.83002602
1 10.75921087
1 10.76426909
1 10.9665981
1 11.14869421
1 10.89578295
1 10.89072472
1 11.03235503
1 11.08799551
1 11.04247148
1 10.80979312
1 10.8452007
1 11.8669622
1 11.8669622
1 11.8669622
2 12.89884016
2 14.24432809
2 14.107756
2 12.87354904
2 12.87354904
3 11.90742801
3 12.05917477
3 12.67627825
3 12.73697695
3 12.69651115
3 12.69651115
3 12.88872371
3 12.86343259
3 12.61557955
3 12.69145293
3 12.68133648
3 12.62063777
3 12.6459289
3 12.03388364
3 11.86190398
3 11.86190398
4 10.83508425
4 11.43195483
4 11.90742801
4 11.85684575
4 11.40160548
4 10.8249678
