x,y,harb,pt_graph,code_area,landscapes_code,landscape_norm,landscape_alpha,wind,wind_norm,wind_alpha,sst,sst_norm,sst_alpha,salinity,salinity_norm,salinity_alpha,nitrogen,nitrogen_norm,nitrogen_alpha,phosphorus,phosphorus_norm,phosphorus_alpha,oxygen,oxygen_norm,oxygen_alpha,dissolvedcarbon,dissolvedcarbon_norm,dissolvedcarbon_alpha,bathymetry,shippingdensity,siltfraction,icesrectanglecode
7.02501,57.525,0,1,0,0,0.0261769771403587,129.089945863696,12,0.0813528549806964,151.028590565178,12,0.0632977237750248,97.1352962382612,20,0.0246866148671902,109.383423916463,0,0.0901160885110005,40.437400956197,0,0.0811153972810506,115.205469293654,0,0.0821487825934751,90.5808504789203,1,0.0543190481618915,65.0886592534823,-163,0,0,0
7.02501,57.575,0,2,0,0,0.0277121201866547,71.790028230364,12,0.0381379874650107,79.8537668522101,12,0.0578852311988512,141.323204505332,20,0.0324693909348278,10.4575666470695,0,0.0533282312932359,-45.4821575539173,0,0.0450537579946248,141.772963872259,0,0.0477111259132902,53.2287546599673,1,0.0955499074237962,131.108720606959,-238,0,0,0
7.02501,57.625,0,3,0,0,0.0708300802538248,143.276051902771,12,0.0524710686550211,75.3256669340853,12,0.05019586769403,138.165832841227,20,0.04688334677681,118.929199909207,0,0.0397950614371757,134.697634499279,0,0.0297651950135904,57.860001730038,0,0.0753431179469908,123.459642460524,1,0.0455053934739242,92.3185106949922,-271,0,0,0
7.02501,57.675,0,4,0,0,0.0395337421643891,113.268953982355,12,0.0457275887389336,97.4530593623403,12,0.0630327591997155,62.0119341300008,20,0.0863036292289078,109.649195163998,0,0.0428712909610836,43.8173163614525,0,0.07643357360924,101.038060551028,0,0.0600540364053748,60.7462715285309,1,0.0701548513148493,91.2875144906957,-292,0,0,0
7.02501,57.725,0,5,0,0,0.0228764191551637,112.374738439606,12,0.0320484679258586,53.0472991942422,12,0.0603835404504555,128.59534891555,20,0.0199611427752804,19.4860766018502,0,0.0538745573218406,65.2561896666981,0,0.038783835174145,86.0077107637933,0,0.0359697265391192,56.4525137214422,1,0.0585395064557231,112.778287502683,-293,0,0,0
7.02501,57.775,0,6,0,0,0.0371211705243687,8.95352245915387,12,0.0304000535963707,137.71598173876,12,0.0440073522902451,39.01654643295,20,0.0945203689562129,68.3460076439509,0,0.0284606073358413,90.494464838183,0,0.0387181248707388,61.1510941963212,0,0.0337135560428065,134.531951314263,1,0.0789392369139919,162.969276434744,-353,0,0,0
7.02501,57.825,0,7,0,0,0.0444035754181868,83.1758704473465,12,0.0538976767917798,68.6374978886313,12,0.0621864826844684,67.8321773994284,20,0.0541547523776255,97.0739080367073,0,0.0271082793804371,89.0670120535874,0,0.0875973660484807,108.331960538175,0,0.032073161382576,45.3653552621299,1,0.0436510641246408,88.2445072057183,-399,0,0,0
7.02501,57.875,0,8,0,0,0.0371825844592598,90.7727201793047,12,0.0606462116928409,126.845615688947,12,0.106648559987816,163.903456960065,20,0.0231572416010046,63.2688052855488,0,0.0490744335954914,174.752048743265,0,0.113180718692176,102.102583012132,0,0.0254130307316064,63.8160063178112,1,0.0337518311485826,121.149550294879,-400,0,0,0
7.02501,57.925,0,9,0,0,0.0441747744086815,101.901132278263,12,0.117057177762631,133.511845975556,12,0.0507474965111842,121.051389480802,20,0.0356426848513224,49.8025382719103,0,0.055940522587447,135.890910301058,0,0.0519618858218329,121.51160690621,0,0.0446878533245878,139.128159554862,1,0.0619099252305777,78.0947998972225,-344,0,0,0
7.02501,57.975,0,10,0,0,0.0391056049979035,79.9688432268518,12,0.101468805859122,72.7941558829044,12,0.0126834587177104,107.755240174403,20,0.0320514508897233,62.2504323053509,0,0.0502608333341598,85.2179378362275,0,0.0845669897980073,109.819171782857,0,0.0274346674698569,85.8316576060779,1,0.0340214969870019,64.4899417701872,-3,0,0,0
7.02501,58.025,0,11,0,0,0.040413343774435,60.7882654631682,12,0.0516058912712677,103.298906966866,12,0.0805910996318525,145.945116104644,20,0.0287589186756856,94.4048964366415,0,0.0410117110457942,86.0713409963274,0,0.0388498378105843,115.118855220565,0,0.0612516247016631,64.3956557778274,1,0.0450427894003277,163.361386540628,4,0,0,0
7.07501,57.525,0,12,0,0,0.0530733845371336,62.9901584642393,12,0.0797854852461084,104.82438717493,12,0.0635916461906478,167.289002874741,20,0.0275450308252917,105.053266524958,0,0.0474963846764193,109.464292969179,0,0.0399450067739719,133.960101280993,0,0.0400833187398849,145.865333365257,1,0.0336786574033365,91.516433613037,-127,0,0,0
7.07501,57.575,0,13,0,0,0.0319576220323746,37.0212703466471,12,0.0274846337902509,77.8553445589193,12,0.0252276009380803,123.885106573911,20,0.0586177951764723,-14.2769352666465,0,0.0612211126787376,37.8762951977152,0,0.0228231879366605,82.7918552298017,0,0.088769527899432,134.096608109414,1,0.0435757508838375,137.276121493052,-238,0,0,0
7.07501,57.625,0,14,0,0,0.0280361148562049,49.0185302600949,12,0.0254512899522426,99.9255658967012,12,0.0322461733325364,87.7931865809889,20,0.053648766747893,65.874012150445,0,0.0255344339022884,56.3074026636451,0,0.0581327070489611,73.7953023752238,0,0.0502743896727391,95.7857170534776,1,0.031311662493065,86.4855129442142,-268,0,0,0
7.07501,57.675,0,15,0,0,0.0492496564552443,75.8082613615279,12,0.0639805111748578,79.9331703522827,12,0.0355256837685945,77.7914808576996,20,0.0342323444895121,132.502374754817,0,0.0975234624064201,93.5462004511533,0,0.0334975930829622,51.4202340683624,0,0.0287234071395523,53.4429690466725,1,0.0372810216780861,78.5800669251518,-295,0,0,0
7.07501,57.725,0,16,0,0,0.0581963796240389,169.035731508204,12,0.0577919417693222,108.13709157243,12,0.0904207374745185,51.4014790663962,20,0.0293686469184746,50.7997215364432,0,0.0665945490456995,122.850253540605,0,0.0588714339784632,80.3478228018654,0,0.0336361945764127,94.2502509371764,1,0.0666053760101615,68.6716243036376,-310,0,0,0
7.07501,57.775,0,17,0,0,0.0615701527952535,112.688904862375,12,0.0597845038061729,88.547140673315,12,0.043149815249616,63.9831225638686,20,0.0438427554054703,68.9202345309808,0,0.0247979303360482,-2.92449848276776,0,0.0407204392391625,55.784477765726,0,0.0343877650345029,191.381393149257,1,0.0657379422813634,107.517506488653,-357,0,0,0
7.07501,57.825,0,18,0,0,0.0279443682258211,148.121881711514,12,0.0760451096555035,150.849424685272,12,0.0565537694961931,81.5961348823456,20,0.064835766029376,48.7134579528448,0,0.0716153993793829,78.8916831824039,0,0.0826123953414861,124.458549941561,0,0.0477906833200096,142.007565952521,1,0.053347076275967,113.686540557126,-395,0,0,0
7.07501,57.875,0,19,0,0,0.0528056933659065,30.2496409782768,12,0.0285478295740312,72.6854974938342,12,0.0672561620160208,18.8292320402687,20,0.0368039957545192,75.8556902071383,0,0.045723019664875,76.5747877598521,0,0.0428780627502001,91.8356219702095,0,0.0257114610798845,112.339288267826,1,0.0877996767322132,100.874747752608,-409,0,0,0
7.07501,57.925,0,20,0,0,0.0795044889071526,99.4543292999995,12,0.0764524684350544,90.2151252363022,12,0.0435712668983427,73.3684126279691,20,0.110901744131411,131.58486728066,0,0.0310863814199453,83.3901061961523,0,0.036774114557087,178.575608621737,0,0.0774182651277628,55.5276040897758,1,0.0544403302689303,61.4912020883872,-324,0,0,0
7.07501,57.975,0,21,0,0,0.0352869385743552,28.8943678548998,12,0.0386326946766866,51.9320372357501,12,0.0606898791040126,56.0252983629855,20,0.0626057346409473,106.941674638487,0,0.0322055998201561,36.758380541269,0,0.0338751928401377,46.9817734370613,0,0.0714074064053555,55.1710854434873,1,0.0325864667185623,106.662028406551,-2,0,0,0
7.12501,57.525,0,22,0,0,0.0825087806161067,78.7272392331947,12,0.0715575133285139,102.403854503072,12,0.0609398469100426,72.3462569623981,20,0.0618748038042781,112.023675314559,0,0.0625358844037806,89.5554147498747,0,0.0671413769266335,124.218376731733,0,0.044790567465058,86.3242051769607,1,0.0445138878534789,124.761357782301,-158,0,0,0
7.12501,57.575,0,23,0,0,0.0509406474634698,92.6782765547638,12,0.0703465026976974,94.4941792991374,12,0.0236994884033561,66.7734822317892,20,0.013033776427105,45.478462957243,0,0.0564669061509624,39.1217713003162,0,0.0690152633597769,67.1840363550364,0,0.0571058285438301,27.1533464792641,1,0.036479038124421,148.051207812697,-238,0,0,0
